user_name;short_description;rating;rating_length;rating_width;size;body_size;review_text;product_id
Jessie;Jeans in Wickeloptik;3;;;36;160-164;Die Waschung ist mega cool, aber die Jeans sitzt total komisch am Bund. Irgendwie zu locker, aber an den Beinen okay. Komisch…;6001271531
Jessie;Jeans-Shorts;2;0;0;34;160-164;Boah, die Jeans stinkt übel nach Chemie! Hab sie schon gewaschen, aber der Geruch geht nicht ganz weg. Hoffentlich legt sich das noch;4381121081
Jessie;Jeans;5;0;0;34;160-164;Endlich mal eine Jeans, die perfekt sitzt! Die Länge ist super und sie betont die Figur richtig gut. Liebe sie!;4921602615
Jessie;Jeans-Culotte mit Gürtel;4;;;34;160-164;Die Jeans ist eigentlich cool, aber sie leiert total schnell aus. Nach ein paar Wochen Tragen hängt sie total durch. Schade;2490143777
Jessie;Jacke;3;-2;;34;160-164;Die Farbe ist der Hammer, aber die Jacke ist viel zu kurz. Sieht irgendwie abgeschnitten aus;2877953899
Jessie;Sweatjacke mit Mickey Mouse Druck;4;;;32/34;160-164;Die Sweatjacke ist super weich und bequem, aber sie riecht extrem nach Fabrik. Musste sie erstmal lüften;3823426101
Jessie;Sweatjacke mit Baumwolle;5;0;0;36/38;160-164;Liebe diese Jacke! Sie ist mega bequem und hält schön warm. Perfekt für chillige Abende;4145228223
Jessie;Sweathose aus Baumwoll-Mischung;4;1;;36/38;160-164;Die Jacke ist okay, aber die Ärmel sind viel zu lang. Muss sie immer hochkrempeln, was nervt;6061735425
Jessie;Shirt mit Teddy-Motiv;3;-2;;32/34;160-164;Das T-Shirt ist super weich, aber es ist nach dem ersten Waschen total eingelaufen. Jetzt ist es viel zu kurz!;4594806367
Jessie;Shirt, kurzer Arm;2;;;32/34;160-164;Das Shirt riecht so komisch! Irgendwie muffig. Hab es schon mehrmals gewaschen, aber der Geruch geht nicht weg. Echt eklig.;5232585761
Jessie;Shirt aus Bio-Baumwolle;5;;;32/34;160-164;Das T-Shirt ist perfekt! Super Passform, toller Stoff und die Farbe ist auch mega. Würde ich wieder kaufen!;5320521393
Jessie;Shirt mit U-Boot Ausschnitt, Halbarm;4;;;36/38;160-164;Das Shirt ist okay, aber der Ausschnitt ist viel zu weit. Trage jetzt immer ein Top drunter, damit man nicht zu viel sieh;3730662163
Deborah;Leggings aus Punto di Roma;5;0;0;44/46;165-169;Die Leggings sind super bequem und die Qualität ist top! Die Passform ist perfekt und sie rutschen nicht. Blitzschnelle Lieferung, danke!;3556442817
Deborah;Leggings;5;0;0;44/46;;Ich liebe diese Leggings! Sie sind blickdicht und halten alles an Ort und Stelle. Die Farbe ist leider etwas anders als auf dem Bild, aber trotzdem schön;3352796775
Deborah;Leggings mit Druckknöpfen am Saum;5;0;0;44/46;;Die Leggings sind mega! Super Qualität und die Passform ist wie angegossen. Die Lieferung war auch super schnell. Top!;2811093579
Deborah;Sweatshirt mit Stickerei;4;0;;48/50;;Das Sweatshirt ist so kuschelig! Die Qualität ist super und die Passform ist genau richtig. Die Farbe ist leider etwas blasser als erwartet;5356688453
Deborah;Sweatshirt aus Baumwoll-Mix;5;0;0;48/50;;Super Sweatshirt! Die Lieferung war mega schnell und die Qualität ist echt gut. Die Passform ist perfekt, genau wie ich es wollte;4973654247
Deborah;Sweatshirt mit Cut-Outs;5;;;44/46;165-169;Das Sweatshirt ist echt bequem und die Qualität stimmt. Die Farbe ist leider etwas dunkler als auf den Fotos, aber trotzdem schön. Schnelle Lieferung!;1510765157
Deborah;Schlupfbluse aus reiner Baumwolle;5;;;46;165-169;Die Schlupfbluse ist total schick und die Qualität ist super. Die Passform ist perfekt und sie fällt schön. Leider ist die Farbe etwas anders als abgebildet, aber trotzdem ein tolles Teil!;5362695017
Deborah;Schlupfbluse aus reiner Baumwolle;5;0;0;44;165-169;Mega zufrieden mit der Schlupfbluse! Die Qualität ist super und sie sitzt perfekt. Die Lieferung war blitzschnell. Die Farbe ist etwas heller als erwartet, aber trotzdem schön;5362695017
Deborah;Schlupfbluse aus softer Viskose;4;0;0;44;;Die Schlupfbluse ist super bequem und sieht toll aus. Die Qualität ist top und die Passform ist genau richtig. Die Farbe ist leider etwas anders, aber trotzdem ein Hingucker!;2447873211
Deborah;Bluse mit Gummizugbund;5;;;46;165-169;Top Schlupfbluse! Schnelle Lieferung und die Qualität ist echt super. Die Passform ist perfekt und sie ist angenehm zu tragen;4569421635
Melli;Schlaghose mit seitlicher Knopfleiste;3;;;42;155-159;Die Bluse sitzt ganz komisch, obwohl ich meine übliche Größe bestellt habe;4549245281
Melli;Rollkragenpullover mit Schlitz;3;;;40/42;155-159;Größe 40/42 (M) fällt irgendwie kleiner aus, als bei den anderen Herstellern. Geht leider zurück;5374501527
Melli;Satin-Bluse;3;;-2;44;160-164;Wieder zu eng, obwohl ich sogar eine Größe größer bestellt habe. Schade;4889454467
Melli;Lockeres Longsweatshirt, halbarm;3;-1;-1;44/46;160-164;Die Passform lässt einiges zu wünschen übrig;5305581291
Melli;Neckholder-Jumpsuit;4;0;;44;155-159;Gut;5147989223
Melli;Kurzblazer;2;-2;;46;155-159;Geht zurück;5008942529
Melli;One-Shoulder-Shirt;4;0;0;44/46;155-159;Alles wie abgebildet;3614592289
Melli;Kleid mit Nieten;4;0;1;48/50;160-164;Das Kleid hat eine schöne Farbe, könnte aber etwas besser sitzen in der Größe;3731063167
Melli;Mom-Twillhose;3;;0;46;155-159;Lieder nicht den Preis wert;4554726541
Melli;Kleid mit Polka Dots;3;1;1;48/50;155-159;Sitzt gar nicht so wie am Model, obwohl ich dieselbe Größe bestellt habe;3569849729
Melli;Rock aus softem Scuba;3;-1;-1;44/46;155-159;Leider fallen die Größen bei deisem Rock größer aus, als bei der Konkurenz;2915773055
Melli;Kurzmantel mit Lederimitat-Ärmeln;4;0;0;48;155-159;Habe zwei Größen größer bestellt, als was ich normalerweise trage, hat gut gepasst;3941187983
Melania;Maxikleid;5;;;60/62;170-174;Das Kleid ist super! Für den reduzierten Preis echt ein Schnäppchen;4393713127
Melania;Shirt in Patchoptik;4;0;0;56/58;170-174;Das Shirt ist okay. War im Sale, daher kann man nicht meckern. Qualität ist aber nicht überragend;3730327283
Melania;Pullover mit Bluseneinsatz;5;0;0;56/58;170-174;Der Pullover ist total kuschelig und hält warm. War reduziert, daher top Preis-Leistungs-Verhältnis!;3340570931
Melania;Bluse, bedruckt, Kurzarm;3;0;0;56;170-174;Die Bluse ist leider total schlecht verarbeitet. War zwar günstig, aber trotzdem ärgerlich;2942176887
Melania;Parka;5;;;58;170-174;Die Jacke ist super für den Übergang. Im Sale gekauft, daher super Deal!;5356373101
Melania;Hose aus Viskose-Mix;4;;0;56/58;170-174;Die Hose ist okay, aber der Stoff ist etwas billig. War aber auch ein Schnäppchen, daher geht es in Ordnung;4316451131
Melania;Oversize-Mantel;5;0;0;56/58;170-174;Der Mantel ist schick und gut verarbeitet. Für den Sale-Preis echt super!;5498241443
Melania;Leggings;2;1;0;56/58;170-174;Die Leggings sind leider total durchsichtig. War zwar günstig, aber trotzdem unbrauchbar;3352796775
Melania;Top aus fließender Viskose;4;0;0;56/58;170-174;Das Top ist schlicht, aber schick. Für den Sale-Preis kann man nichts falsch machen;5217299415
Melania;Sweatjacke;4;0;;56/58;170-174;Die Sweatjacke ist okay, aber die Qualität ist nicht so gut. War aber stark reduziert, daher akzeptabel;4502120887
Melania;Pullover;4;;;56/58;170-174;Alles gut;4053037149
Melania;Henleyshirt;5;;;60/62;170-174;Bin sehr zufrieden;2913505289
Ella;Shirt mit Muster;5;0;0;36/38;160-164;Das Shirt ist super vielseitig! Ich trage es gerne zu einer Jeans und Sneakern für einen lässigen Look, oder aber auch zu einem Rock und schicken Schuhen für einen eleganteren Anlass. Passt einfach immer!;3576403881
Ella;Pullover;5;0;;36/38;160-164;Der Pullover ist so schön warm und kuschelig! Perfekt für kalte Tage. Ich trage ihn gerne über einem Kleid oder einer Bluse für einen gemütlichen Lagenlook. Dazu noch eine dicke Strumpfhose und Boots, fertig!;3941496741
Ella;Hose aus strukturierter Viskose;5;0;0;44;160-164;Die Hose ist super bequem und sieht toll aus! Ich trage sie gerne mit einem schlichten Top und einer Lederjacke für einen coolen Alltagslook. Aber auch zu einer Bluse und High Heels sieht sie super aus!;4039443927
Ella;Spitzenkleid;3;0;0;40/42;160-164;Das Kleid sah online wunderschön aus, aber als ich es anprobiert habe, war ich total enttäuscht;5984646727
Ella;Jacke mit Kapuze und aufgesetzten Taschen;2;-1;-1;42;160-164;Die Jacke hat mir vom Stil her überhaupt nicht gefallen. Sie sah online viel moderner aus, aber in echt wirkt sie total altbacken;3340571881
;;;;;;; ;
