user_name;short_description;rating;rating_length;rating_width;size;body_size;review_text;product_id
Nadine;Ausgestelltes Midikleid aus Spitze;5;0;;40/42;170-174;Sehr schöne Farbe wie auf den Bildern!;3665676491
Nadine;Hose aus Viskose-Mix;5;0;0;42;170-174;Einfach Klasse;4316451131
Nadine;Pullover mit Seidenanteil;5;;;40/42;165-169;Topartikel, habe zwei bestellt;4146954435
Nadine;Longbluse mit Schlitz aus fließender Viskose;5;0;;42;170-174;Super Qualität, wie erwartet;4910590319
Nadine;Bandeau-Kleid;5;;;40;170-174;Ich habe mein Lieblingstück gefunden;4166750887
Nadine;Barrel-Jeans;4;0;0;38;170-174;Alles hat gepasst;5846697827
Nadine;Anzugshose;4;;;40;170-174;Lässt sich gut mit weißen Hosen kombinieren;3339315393
Nadine;Pullover;5;0;0;40/42;170-174;Alles MEGA;5096505049
Nadine;Barrell Jeans Mid Waist, cropped;5;;;40;170-174;Schönes Stück;4534958667
Nadine;Baumwoll Parka im Utility Stil, halblang;5;0;0;42;170-174;Sehr gut;2906867245
Alice;7/8 Stretch-Hose mit floralem Drck;1;;;56;180-184;Die Hose sieht online toll aus, aber in echt? Schrecklich! Viel zu eng an den Oberschenkeln, obwohl ich meine normale Größe bestellt habe. Geht zurück!;3782703993
Alice;3/4- Hose mit Bindeband;1;;;54;;Ich war so aufgeregt wegen dieser Hose, aber leider ist die Passform total daneben. Der Bund ist viel zu weit und die Beine zu eng. Keine Empfehlung;2471411871
Alice;Jeans;1;;;56;180-184;Die Hose hat eine komische Form. Obenrum passt sie, aber an den Beinen ist sie viel zu eng. Sieht einfach nicht gut aus;4921602615
Alice;3/4- Hose mit Bindeband;2;;;56;180-184;Super Farbe, aber die Passform ist eine Katastrophe. Viel zu eng, unbequem und einfach nicht tragbar;2471411871
Alice;Pullover;1;;;56/58;175-179;Der Pullover ist viel zu kurz! Ich hatte gehofft, er wäre etwas länger, aber er hört direkt unter der Brust auf. Sieht komisch aus;5096505049
Alice;Pullover mit Polokragen;1;;;52/54;;Die Ärmel sind viel zu lang, und der Körper ist zu eng. Komische Passform, geht zurück;4769886779
Alice;Pullover mit  V-Ausschnitt vorn und hinten;1;;;56/58;;Der Ausschnitt ist viel zu weit, sodass ständig meine BH-Träger zu sehen sind. Nervt total;4562438071
Alice;Pullover, 3/4-Arm;3;;;56/58;;Der Stoff ist super, aber der Schnitt ist einfach nur schlecht. Der Pullover hängt total unförmig;3961164467
Alice;Kleid;1;;;54;;viel zu eng an der Brust, obwohl ich meine normale Größe bestellt habe. Sehr unbequem und unvorteilhaft;4487797417
Alice;Kleid aus Musselin;2;;;54;;Das Kleid hat eine komische Länge. Es ist weder richtig kurz noch richtig lang, sondern irgendwas dazwischen. Sieht doof aus;5109623149
Alice;Kleid mit Blumenprint;2;;;56/58;180-184;Zu weit an der Taille, sodass es aussieht, als hätte ich zugenommen. Keine gute Passform;3172473223
Alice;Kleid mit Spitze;2;;;60/62;180-184;Das Kleid ist am Oberkörper zu klein, aber an den Hüften zu weit. Passt überhaupt nicht zusammen;1392453903
Alice;Bluse bedruckt;1;;;54;;Die Knöpfe ziehen sich, weil die Bluse zu eng ist. Sieht billig aus und ist unbequem;2957661943
Alice;Bluse mit Plissée-Ärmeln;2;;;58;;Die Bluse ist viel zu weit an den Schultern, sodass sie ständig runterrutscht. Keine gute Passform;3800825557
Alice;Bluse, 3/4-Arm, mit Lochstickerei;2;;;56;;Am Bauch zu eng, aber an den Armen zu weit. Passt einfach nicht richtig;5111065079
Anna;Pullover mit Wollanteil;5;;;36/38;;Dieser Pullover ist einfach himmlisch! Die Wolle ist so unglaublich weich und angenehm auf der Haut. Kein Kratzen, kein Jucken, einfach nur Wohlfühlen!;5330865917
Anna;Pullover mit Knöpfen;5;0;0;32/34;;Ich bin begeistert! Endlich ein Pullover, der nicht nur gut aussieht, sondern sich auch fantastisch anfühlt. Die Bio-Baumwolle ist so sanft und atmungsaktiv. Perfekt!;3132187647
Anna;Pullover mit Farbverlauf;5;;;36/38;;Der Pullover ist super! Die Bio-Baumwolle ist von toller Qualität und fühlt sich einfach großartig an. Ich liebe es, ihn zu tragen!;3820269463
Anna;Hemdbluse;5;;;36;;Die Hemdbluse ist ein Traum! Der Stoff ist so leicht und luftig, perfekt für warme Tage. Sie liegt wunderbar auf der Haut und ist super angenehm zu tragen;5344347053
Anna;Bluse mit Seidenanteil;5;;;36;;Ich bin total happy mit dieser Bluse! Der Stoff ist von hervorragender Qualität und fühlt sich einfach toll an. Sie ist super bequem und sieht auch noch schick aus!;5811393581
Anna;Shirt aus Bio-Baumwolle;5;0;0;32/34;;Dieses Shirt ist einfach perfekt für jeden Tag! Die Bio-Baumwolle ist so weich und angenehm, es ist wie eine zweite Haut. Ich liebe es!;5320521393
Anna;Shirtbluse aus reiner Bio-Baumwolle;5;;;36/38;;Ich bin total begeistert von diesem Shirt! Die Bio-Baumwolle ist von super Qualität und fühlt sich einfach fantastisch an. Es ist super bequem und sieht auch noch toll aus. Würde ich immer wieder kaufen!;5298755233
Anna;Strandshorts;4;0;0;36;;Die Lieferung hat sich verzögert aber die Shorts sind sehr gut;4344769729
Anna;Stretch-Chinohose;4;0;0;38;;Alles in Ordnung;5736555283
Claudia;Kleid mit Volants;2;;;52/54;170-174;Das Kleid sah online super aus, aber die Qualität ist echt mies. Der Stoff fühlt sich billig an und die Farbe ist viel blasser als auf den Fotos. Enttäuschend!;3329821797
Claudia;Hose aus Viskose-Mix;1;0;0;56/58;170-174;Die Hose ist total unbequem und kratzt. Der Stoff ist so hart, das geht gar nicht. Schade ums Geld;4316451131
Claudia;Pullover;1;0;1;52/54;;Der Pullover fusselt extrem und die Farbe ist nach dem ersten Waschen total ausgeblichen. Nicht zu empfehlen;5096505049
Claudia;Bluse mit Gummizugbund;2;0;;56;170-174;Die Bluse ist okay, aber die Farbe ist viel dunkler als abgebildet. Ich hatte mir was ganz anderes vorgestellt;4569421635
Claudia;Jacke;2;0;-1;56;170-174;Die Lieferung war super schnell, das muss man sagen. Aber die Jacke ist total dünn und wirkt billig verarbeitet. Hätte mehr erwartet;2877953899
Claudia;Shirt aus softem Viskose-Mix;1;0;0;52/54;170-174;Das Shirt ist nach dem ersten Waschen total verzogen. Die Qualität ist echt schlecht. Finger weg!;5346417621
Claudia;Leggings mit Nieten;1;;;56/58;;Die Leggings sind viel zu dünn und man sieht alles durch. Billiger Stoff, keine gute Wahl;3951291871
